Unnamed: 0.1,Unnamed: 0,RA_ICRS,DE_ICRS,Source,Plx,PM,pmRA,pmDE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,GRVSmag,e_GRVSmag,BP-RP,BP-G,G-RP,pscol,Teff,Dist,Rad,Lum-Flame,Mass-Flame,Age-Flame,z-Flame,SpType-ELS
4206,4206,80.45775487221,41.99509436704,195018148334819328,1.8547,7.046,-1.249,-6.934,10.771368,0.002776,10.897966,0.002876,10.535497,0.003821,10.430182,0.009665,0.36247,0.126598,0.235871,,7962.0,491.9176,1.773,13.550823,1.803,0.795,0.57229066,A      
20991,20991,56.01232786581,61.13780371295,474504108513455744,0.2798,0.264,-0.101,-0.244,14.750435,0.002771,15.288873,0.003447,14.038599,0.003902,13.774788,0.097902,1.250274,0.538438,0.711836,1.4717,9010.4,4692.1606,5.576,87.18398,2.7,0.44,0.3446171,A      
9378,9378,84.59855835522,55.39879366706,268112410036742144,2.5498,7.36,-7.182,-1.612,10.105626,0.002766,10.327143,0.002855,9.732254,0.003793,9.562567,0.004579,0.594889,0.221517,0.373372,,7761.2,310.9121,1.9397,17.872267,1.888,0.938,0.49548575,A      
92386,92386,127.58029000068,-2.8827881742,3072679222001008896,0.6404,5.29,-5.237,0.747,14.040872,0.002815,14.199419,0.002895,13.715589,0.003878,13.564999,0.118968,0.48383,0.158547,0.325283,,7111.5,2200.8083,2.0728,4.321818,1.467,0.52,0.43023032,A      
147119,47119,35.68840781407,57.47704930965,458488725229687296,0.4222,1.266,-0.689,-1.062,13.95492,0.002771,14.229404,0.003045,13.491888,0.003866,,,0.737516,0.274485,0.463032,,11836.0,2673.431,2.5788,83.371765,2.948,,0.61368555,B      
150346,50346,42.33443524677,59.25388415411,464081494197579648,0.529,0.747,0.0,0.747,13.882316,0.002786,14.186984,0.011008,13.09012,0.011578,,,1.096864,0.304668,0.792195,,10141.4,1584.7585,2.3564,67.23935,2.639,0.334,0.740334,B      
120828,20828,59.83274794543,49.97109212984,250531493989557504,0.3997,1.771,0.796,-1.581,13.043499,0.002787,13.462316,0.003301,12.438988,0.003944,,,1.023328,0.418817,0.604511,,12808.9,2490.5667,4.4147,425.86588,4.061,,0.51651895,B      
49002,49002,358.40512305581,57.33257831925,1998128775926356864,1.5848,11.328,-9.559,-6.079,11.63315,0.002763,11.835842,0.002836,11.291048,0.00379,11.133413,0.007445,0.544794,0.202692,0.342102,,8300.9,651.1479,1.8258,12.817646,1.813,0.521,0.58018804,A      
41971,41971,343.54303871986,35.65356940945,1915521161651999744,2.3219,14.181,-8.6,-11.276,10.748838,0.00288,10.915727,0.003573,10.364463,0.004019,10.215268,0.009856,0.551264,0.166888,0.384376,,7097.5,412.531,1.8838,8.447572,1.59,1.357,0.4434298,A      
3111,3111,75.02414782938,35.29075642355,185936796466431744,1.9827,8.735,-8.034,-3.429,12.059641,0.002762,12.481954,0.002852,11.455659,0.003801,11.184957,0.011079,1.026295,0.422313,0.603982,,7997.7,528.1538,1.86,11.667821,1.761,0.654,0.5494439,A      
179970,79970,237.157618278,28.38486855952,1224573211352790400,0.2378,2.67,-1.93,-1.846,12.852856,0.002828,12.808286,0.003458,12.949305,0.00422,,,-0.141019,-0.04457,-0.096449,,12608.0,4006.8645,2.8671,177.75464,3.439,,0.73272955,B      
10511,10511,22.3053061665,21.94341358727,289542265322351872,0.9271,8.691,1.958,-8.467,11.519118,0.0028,11.588624,0.00286,11.386869,0.003809,11.345173,0.013779,0.201755,0.069506,0.132249,,8867.3,1188.2577,2.5126,26.397305,2.116,0.533,0.6077947,A      
49907,49907,340.0896774425,53.63453746252,2002367049658347904,1.3168,0.637,0.585,-0.252,12.45582,0.002763,12.72047,0.002842,11.998479,0.0038,11.890842,0.024628,0.721992,0.26465,0.457341,,8152.7,772.9385,1.7466,11.648228,1.773,0.528,0.55552226,A      
80161,80161,92.15939960993,-19.66514389258,2942146129266597504,1.6339,6.574,0.559,6.55,11.117016,0.002778,11.268709,0.002841,10.848441,0.003793,10.742286,0.009973,0.420268,0.151693,0.268575,,7600.6,623.2427,2.0133,11.2406,1.715,0.991,0.5705549,A      
80256,80256,95.95719471551,-16.94345979036,2944037735944348160,2.5616,1.06,0.251,-1.03,9.485667,0.002761,9.610749,0.002801,9.247146,0.003783,9.129692,0.006986,0.363604,0.125082,0.238522,,7906.4,371.2251,2.468,23.121958,1.995,0.864,0.4856965,A      
110209,10209,73.63491056112,40.29193424902,200074115116112896,0.2484,1.151,0.457,-1.056,14.279848,0.002777,14.579139,0.003013,13.801901,0.004034,,,0.777238,0.299291,0.477947,,11302.8,2427.9958,2.1148,142.1031,3.144,0.228,0.8389144,B      
105575,5575,79.25095605597,40.13694543789,188809476751734656,1.0078,1.878,0.337,-1.848,11.173191,0.002875,11.285431,0.002845,10.963182,0.003808,10.85087,0.010056,0.322248,0.11224,0.210009,,10096.1,1072.9602,2.8504,61.881344,2.591,0.334,0.5214377,B      
118821,18821,64.97611517005,45.43760334554,232933398070735744,1.7148,2.474,-2.368,-0.714,9.801132,0.002772,9.870146,0.002843,9.642818,0.0038,9.544425,0.008976,0.227327,0.069014,0.158314,,10684.5,722.4453,3.2342,80.67943,2.78,0.268,0.46989915,B      
180478,80478,261.89276564183,41.08337038218,1347060451657123200,0.183,12.496,-3.445,-12.012,12.199312,0.002769,12.145582,0.002921,12.302151,0.003818,,,-0.156569,-0.05373,-0.102839,,13613.5,4626.392,4.3202,605.975,4.448,,0.5087268,B      
113767,13767,69.99203964935,42.02114115073,203995523336106752,0.3578,2.242,0.896,-2.055,13.902722,0.002765,14.146228,0.002846,13.500069,0.003822,,,0.646159,0.243505,0.402654,,9910.1,2904.9033,2.9421,57.563606,2.54,0.361,0.46573222,B      
13284,13284,19.81804094605,44.60325468909,397562312022338560,2.575,7.148,-5.648,-4.382,8.6261,0.002777,8.662421,0.002873,8.521207,0.003834,8.468875,0.007721,0.141214,0.036322,0.104893,,9573.2,525.4377,4.002,66.717995,2.584,0.414,0.41016287,A      
34694,34694,258.87503591514,76.48203197645,1656748179478313088,1.4196,2.606,2.388,1.043,10.904024,0.002775,11.034056,0.002927,10.676814,0.003792,10.596844,0.009289,0.357242,0.130032,0.22721,,7844.3,740.3677,2.4427,18.32919,1.902,0.902,0.5387732,A      
70088,70088,333.21725964703,58.68614461349,2199615209429020544,2.1938,4.599,4.476,1.055,11.471678,0.00277,11.799975,0.002873,10.972701,0.003803,10.758365,0.005813,0.827274,0.328298,0.498977,,8506.0,442.1873,1.6791,14.007789,1.864,0.437,0.64452296,A      
118455,18455,64.54217216657,43.8537848837,229531474733316224,0.2591,1.076,-0.447,-0.979,14.527349,0.002886,14.832823,0.004049,14.03122,0.004531,,,0.801602,0.305473,0.496129,,12346.3,2579.228,1.9702,137.34966,3.267,,0.7770693,B      
150804,50804,43.13968425525,60.24239832798,464650521522208128,0.1672,1.548,-1.352,0.755,16.10289,0.002819,16.570879,0.003679,15.426378,0.004357,,,1.144501,0.467989,0.676512,,9610.7,8190.817,4.632,205.49391,3.201,0.313,0.38161027,B      
29934,29934,121.44509720563,43.42189912616,922872237211443200,1.7235,4.42,-1.243,-4.242,10.550663,0.002768,10.650672,0.002841,10.359439,0.003802,10.272752,0.017355,0.291233,0.100009,0.191224,,8095.1,601.1177,2.2641,18.077398,1.913,0.79,0.46749339,A      
148742,48742,46.25636226315,57.76757148945,460331025673398144,0.4133,1.394,0.708,-1.201,14.042619,0.002857,14.475976,0.003783,13.41416,0.004329,,,1.061816,0.433357,0.628459,,10676.7,2638.5771,3.405,105.72403,2.923,0.276,0.46555236,B      
63323,63323,290.57793916697,41.41556467784,2101786089324018944,0.9489,1.553,0.185,-1.542,10.718374,0.002765,10.872861,0.002859,10.443569,0.003797,10.331565,0.020124,0.429292,0.154487,0.274805,,7513.9,1001.3503,4.0695,51.268524,2.341,0.725,0.32834378,A      
16117,16117,16.86354324338,59.13269997039,426158547874343552,1.7054,4.332,1.998,-3.843,11.30581,0.002793,11.526697,0.002838,10.938982,0.003808,10.785905,0.009735,0.587715,0.220887,0.366828,,7744.5,530.5239,1.885,12.428639,1.757,0.918,0.5158292,A      
60738,60738,298.21206325608,39.74353888017,2073463425715789568,0.4979,3.586,-0.636,-3.53,13.335529,0.002761,13.839462,0.002957,12.657765,0.003832,12.360232,0.037672,1.181697,0.503933,0.677764,,8044.3,1782.3472,3.9967,76.18918,2.594,0.522,0.3604828,A      
