Unnamed: 0.1,Unnamed: 0,RA_ICRS,DE_ICRS,Source,Plx,PM,pmRA,pmDE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,GRVSmag,e_GRVSmag,BP-RP,BP-G,G-RP,pscol,Teff,Dist,Rad,Lum-Flame,Mass-Flame,Age-Flame,z-Flame,SpType-ELS
4490,4490,89.86912708195,46.53228321076,197782762944954752,1.4295,6.256,1.865,-5.972,11.572209,0.002782,11.726831,0.002927,11.300101,0.003834,11.163142,0.021442,0.426729,0.154621,0.272108,,8083.3,706.1004,1.8547,12.206245,1.777,0.657,0.53421354,A      
45978,45978,323.74198554313,46.29037703128,1977377899141093248,1.6546,9.916,9.563,2.622,11.481627,0.002773,11.637032,0.002887,11.21083,0.003796,11.106277,0.010114,0.426202,0.155404,0.270798,,7538.8,673.0569,1.92,8.824309,1.658,0.654,0.44910422,A      
79938,79938,93.65574413928,-21.79994189559,2937869819310177152,1.1481,6.144,4.831,-3.796,10.947657,0.002762,11.068328,0.002806,10.723567,0.003786,10.625747,0.006944,0.344761,0.120671,0.22409,,7647.8,1004.0646,3.3653,25.645618,2.029,0.903,0.38294256,A      
109400,9400,84.8830323016,42.72674170984,195993896183658112,0.2129,0.405,0.382,-0.132,14.913737,0.002781,15.181747,0.003222,14.474363,0.004018,,,0.707384,0.26801,0.439374,,10792.2,4393.717,2.8061,80.60391,2.789,0.252,0.49871632,B      
3981,3981,88.02549990995,43.47132558139,193433820797235200,0.7135,5.528,-3.664,-4.139,13.710503,0.002763,14.017317,0.002921,13.236827,0.003819,13.082901,0.04389,0.78049,0.306814,0.473676,,7206.6,1392.0714,1.9626,7.940076,1.579,1.22,0.48660895,A      
55863,55863,287.76621870712,30.34901543892,2039404197611994880,1.0339,2.129,1.682,1.305,10.948811,0.002768,11.001257,0.002856,10.839652,0.003795,10.785419,0.008462,0.161605,0.052446,0.109159,,8990.4,1108.6709,2.9943,39.27013,2.289,0.533,0.49399656,A      
87475,87475,105.1008174222,-12.07364429379,3045884432875021952,0.9243,3.149,-3.099,0.555,11.794995,0.002782,11.840561,0.00291,11.699786,0.003853,11.636136,0.017167,0.140775,0.045566,0.095209,,9511.2,1193.4354,2.1061,24.526348,2.156,0.247,0.5421704,A      
136228,36228,3.24537897506,61.83859545575,429746288686799488,0.9736,1.665,-0.284,-1.64,11.56074,0.002763,11.748081,0.002849,11.219822,0.003801,11.056744,0.065265,0.528259,0.187342,0.340918,,10691.1,1415.8397,3.6507,77.79191,2.764,0.262,0.4700836,B      
177180,77180,5.03887490397,68.60330864072,530353114449569536,0.2013,1.197,-1.028,-0.613,15.965147,0.002787,16.550678,0.004095,15.215329,0.004097,,,1.335349,0.585531,0.749818,,9980.5,2873.0742,1.9987,36.52505,2.357,0.263,0.5300168,B      
50712,50712,331.98316825195,55.40278937096,2005754095237704192,0.3405,5.006,-4.021,-2.981,14.740541,0.002763,15.149469,0.002941,14.155249,0.003863,14.046979,0.144714,0.994221,0.408928,0.585293,,6595.9,2331.3955,2.5712,16.187227,1.808,1.391,0.13610779,A      
65641,65641,317.20029011818,47.77301329286,2165270486275093504,0.5046,6.32,-3.624,-5.178,14.450295,0.002765,14.892926,0.002994,13.829822,0.003858,13.488484,0.145115,1.063105,0.442631,0.620474,,7102.7,2446.3728,3.128,14.056115,1.771,1.168,0.3966547,A      
83043,83043,91.3859977802,-4.38913874296,3021239390833696128,1.2838,4.738,0.196,-4.734,12.369331,0.002785,12.572837,0.002925,12.028313,0.003929,11.909484,0.019016,0.544524,0.203506,0.341019,,7457.1,741.9211,1.5302,7.2480435,1.586,0.671,0.5196953,A      
1626,1626,77.36567546389,30.5550991774,156392476648166016,2.4002,5.197,4.788,-2.022,9.905293,0.002766,10.087782,0.002812,9.580119,0.003786,9.437387,0.011391,0.507663,0.182489,0.325173,,8558.0,442.0244,2.663,30.093603,2.144,0.643,0.46078736,A      
136939,36939,8.84459632476,60.82915449908,430106241304763008,0.5007,2.804,-2.627,-0.981,15.014446,0.002772,15.345234,0.009353,14.364388,0.006044,,,0.980846,0.330788,0.650059,,10283.8,2045.6724,1.6721,23.434132,,,0.6276669,B      
11339,11339,40.04154520675,46.40125485455,341890293096832768,0.4403,1.676,0.309,-1.647,13.960111,0.002787,14.161356,0.003146,13.630882,0.003872,13.277712,0.073996,0.530474,0.201245,0.329228,,7581.7,2111.9827,2.0574,12.86329,1.758,1.017,0.5208541,A      
169497,69497,31.23597526325,63.59895965844,514926588362248448,0.5425,3.122,-2.588,1.746,15.385349,0.002836,15.866312,0.003117,14.679479,0.003892,,,1.186833,0.480963,0.705871,,10371.7,3597.2563,2.835,20.11371,,,0.4772893,B      
37029,37029,300.43762789108,17.80131796029,1821996943133810944,0.7937,4.998,-3.797,-3.25,11.870598,0.002794,12.00717,0.003135,11.422956,0.00395,11.323329,0.009573,0.584214,0.136572,0.447642,,7036.9,925.7563,2.6157,28.967373,2.083,0.874,0.4777857,A      
132787,32787,13.24026364549,59.83304553623,426108966782583168,0.2437,0.78,-0.569,-0.533,14.249172,0.002831,14.420263,0.003438,13.941081,0.004282,,,0.479182,0.171091,0.308091,,10954.0,4462.7656,3.1626,88.49474,2.854,0.241,0.4857832,B      
56907,56907,294.02324484138,36.48982827576,2048494684874792832,0.7733,5.425,-3.598,-4.061,12.161112,0.003025,12.248526,0.004314,11.999492,0.005763,11.91446,0.027653,0.249034,0.087414,0.16162,,9015.7,1267.9056,2.0964,26.337828,2.133,0.462,0.6308617,A      
110115,10115,73.123036232,39.69584969314,199959800265580032,0.1752,1.329,0.142,-1.321,15.116765,0.00278,15.342106,0.003162,14.736234,0.004103,,,0.605872,0.225341,0.380531,,11426.5,3416.8457,1.7701,50.68331,2.671,,0.6937548,B      
66762,66762,322.12599413076,50.37637181429,2171200392993286656,0.4621,8.06,-5.251,-6.114,14.422923,0.002968,15.128323,0.005124,13.554399,0.005573,13.17007,0.076234,1.573924,0.7054,0.868525,,7737.8,3765.3506,7.6934,47.119186,2.321,0.704,0.23106882,A      
120560,20560,55.16725377458,49.06581601817,249453010521406848,0.3317,2.195,0.739,-2.067,14.901231,0.002771,15.16149,0.00304,14.478113,0.003918,,,0.683377,0.26026,0.423118,,9749.6,2899.3223,1.9271,27.659777,2.233,,0.55178523,B      
131121,31121,13.92271085542,54.04188003252,417357713213266176,0.8594,2.243,-1.835,-1.291,10.187306,0.002769,10.279877,0.002798,9.993932,0.003783,9.883095,0.009045,0.285945,0.09257,0.193375,,9820.7,1546.4183,6.3344,188.95407,3.216,0.291,0.3705502,B
